,type,year,month,name,id,genre
0,movie,1990,10.0,Jahrgang 45,tt0059325,Drama
1,movie,1990,10.0,"Wenn du groß bist, lieber Adam",tt0059900,Drama
2,movie,1990,10.0,"Vojtech, receny sirotek",tt0065188,Drama
3,movie,1990,8.0,Domo Arigato,tt0068494,Drama
4,movie,1990,3.0,Spy Story,tt0075259,Drama
5,movie,1990,12.0,Vincent et moi,tt0081721,Drama
6,movie,1990,3.0,Asfour Stah,tt0090665,Drama
7,movie,1990,,La hora 24,tt0093210,Drama
8,movie,1990,11.0,Xian sha lu,tt0093989,Drama
9,movie,1990,,Object of Desire,tt0093662,Drama
10,movie,1990,5.0,Any Man's Death,tt0094666,Drama
11,movie,1990,10.0,The Sun and the Moon,tt0094073,Drama
12,movie,1990,3.0,Chi se da feng bao,tt0094857,Drama
13,movie,1990,4.0,Payback,tt0095840,Drama
14,movie,1990,10.0,Wu ye tian shi,tt0096469,Drama
15,movie,1990,10.0,Agneekaal,tt0096775,Drama
16,movie,1990,2.0,Bumazhnye glaza Prishvina,tt0096992,Drama
17,movie,1990,1.0,Blagorodnyy razboynik Vladimir Dubrovskiy,tt0096937,Drama
18,movie,1990,6.0,Sailors Don't Cry,tt0096025,Drama
19,movie,1990,5.0,Stela,tt0096174,Drama
20,movie,1990,8.0,Primo Baby,tt0095902,Drama
21,movie,1990,,Zbabelec,tt0096500,Drama
22,movie,1990,1.0,Atlantic Rhapsody - 52 myndir úr Tórshavn,tt0096845,Drama
23,movie,1990,8.0,Father,tt0097339,Drama
24,movie,1990,11.0,Los ángeles,tt0096817,Drama
25,movie,1990,11.0,Crossing the Line,tt0097129,Drama
26,movie,1990,11.0,Eternity,tt0097298,Drama
27,movie,1990,4.0,Abrahams Gold,tt0096752,Drama
28,movie,1990,12.0,In the Cold of the Night,tt0097573,Drama
29,movie,1990,,Adultery,tt0096763,Drama
30,movie,1990,9.0,Könnyü vér,tt0097697,Drama
31,movie,1990,10.0,"Mado, poste restante",tt0097802,Drama
32,movie,1990,1.0,La punyalada,tt0098144,Drama
33,movie,1990,9.0,Nezný barbar,tt0097968,Drama
34,movie,1990,3.0,Pont de Varsòvia,tt0098139,Drama
35,movie,1990,5.0,Nochevala tuchka zolotaya...,tt0098004,Drama
36,movie,1990,2.0,Marcowe migdaly,tt0097833,Drama
37,movie,1990,2.0,Conte de printemps,tt0097106,Drama
38,movie,1990,4.0,Catchfire,tt0096875,Drama
39,movie,1990,2.0,Tragediya v stile rok,tt0096296,Drama
40,movie,1990,2.0,Courage Mountain,tt0097115,Drama
41,movie,1990,8.0,L'assassina,tt0096838,Drama
42,movie,1990,4.0,Bal na dworcu w Koluszkach,tt0096879,Drama
43,movie,1990,8.0,Brodyachiy avtobus,tt0096984,Drama
44,movie,1990,5.0,A halálraítélt,tt0097475,Drama
45,movie,1990,,Ballbuster,tt0096883,Drama
46,movie,1990,11.0,Winckelmanns Reisen,tt0098657,Drama
47,movie,1990,5.0,Fung yue tung lo,tt0097348,Drama
48,movie,1990,11.0,"Any Time, Any Play",tt0096825,Drama
49,movie,1990,2.0,La leyenda de una máscara,tt0097738,Drama
50,movie,1991,10.0,Dip huet kei bing,tt0077432,Drama
51,movie,1991,12.0,Goodbye Paradise,tt0084015,Drama
52,movie,1991,,Abhimanyu,tt0092507,Drama
53,movie,1991,1.0,La casa del sorriso,tt0094841,Drama
54,movie,1991,4.0,Committed,tt0094900,Drama
55,movie,1991,4.0,El heroob,tt0095111,Drama
56,movie,1991,9.0,Qi wang,tt0095450,Drama
57,movie,1991,10.0,Jericó,tt0095394,Drama
58,movie,1991,9.0,Cold Justice,tt0097079,Drama
59,movie,1991,5.0,Malù e l'amante,tt0096797,Drama
60,movie,1991,7.0,L'home de neó,tt0097519,Drama
61,movie,1991,2.0,Intimidades de un cuarto de baño,tt0097585,Drama
62,movie,1991,4.0,Reise ohne Wiederkehr,tt0098181,Drama
63,movie,1991,2.0,Paprika,tt0098063,Drama
64,movie,1991,4.0,Caruga,tt0099241,Drama
65,movie,1991,1.0,Mat Iisusa,tt0097849,Drama
66,movie,1991,6.0,Le brasier,tt0099174,Drama
67,movie,1991,4.0,Spirit of the Eagle,tt0098372,Drama
68,movie,1991,2.0,Amelia Lópes O'Neill,tt0099027,Drama
69,movie,1991,4.0,Chaindance,tt0099236,Drama
70,movie,1991,4.0,Cheb,tt0099244,Drama
71,movie,1991,3.0,Payback,tt0100342,Drama
72,movie,1991,4.0,Games of Desire,tt0099632,Drama
73,movie,1991,4.0,How to Survive a Broken Heart,tt0099805,Drama
74,movie,1991,8.0,Erwin und Julia,tt0099515,Drama
75,movie,1991,6.0,Fist of Glory,tt0099579,Drama
76,movie,1991,1.0,Flight of the Intruder,tt0099587,Drama
77,movie,1991,5.0,Openbaringen van een slapeloze,tt0100298,Drama
78,movie,1991,3.0,Murder Blues,tt0097928,Drama
79,movie,1991,9.0,Panny i wdowy,tt0100327,Drama
80,movie,1991,1.0,Poslední motýl,tt0100393,Drama
81,movie,1991,1.0,Rama Dama,tt0100457,Drama
82,movie,1991,9.0,Catorce estaciones,tt0099233,Drama
83,movie,1991,8.0,Sdelano v SSSR,tt0100562,Drama
84,movie,1991,,Prica iz Hrvatske,tt0100698,Drama
85,movie,1991,5.0,Rich Girl,tt0100488,Drama
86,movie,1991,3.0,Rue du Bac,tt0100524,Drama
87,movie,1991,6.0,Sukiny deti,tt0100714,Drama
88,movie,1991,4.0,Sutoroberi rodo,tt0100704,Drama
89,movie,1991,6.0,L'entraînement du champion avant la course,tt0099507,Drama
90,movie,1991,4.0,Aux yeux du monde,tt0099072,Drama
91,movie,1991,2.0,Erfolg,tt0099511,Drama
92,movie,1991,4.0,Der Fall Ö.,tt0099537,Drama
93,movie,1991,10.0,Ciudad de ciegos,tt0099274,Drama
94,movie,1991,12.0,Bronsteins Kinder,tt0099181,Drama
95,movie,1991,1.0,Solo o en compañía de otros,tt0100655,Drama
96,movie,1991,10.0,Holidays on the River Yarra,tt0099780,Drama
97,movie,1991,3.0,Itt a szabadság!,tt0099866,Drama
98,movie,1991,11.0,Stein,tt0100690,Drama
99,movie,1991,7.0,Iskushenie B.,tt0099860,Drama
100,movie,1992,6.0,La nuit de l'océan,tt0095761,Drama
101,movie,1992,10.0,Tao xue wai zhuan,tt0096222,Drama
102,movie,1992,8.0,Judgement,tt0097631,Drama
103,movie,1992,5.0,Ng yuet yam seon,tt0099104,Drama
104,movie,1992,2.0,Disha,tt0099437,Drama
105,movie,1992,2.0,Coupable d'innocence ou Quand la raison dort,tt0099639,Drama
106,movie,1992,6.0,Fau sai luen kuk,tt0099620,Drama
107,movie,1992,4.0,Hurricane Smith,tt0099814,Drama
108,movie,1992,3.0,Back to the USSR - takaisin Ryssiin,tt0099089,Drama
109,movie,1992,11.0,Perumthachan,tt0100354,Drama
110,movie,1992,7.0,Hei tai yang 731 xu ji zhi sha ren gong chang,tt0099757,Drama
111,movie,1992,11.0,Exiled in America,tt0099527,Drama
112,movie,1992,,Da Jue Zhan III: Ping Jin Zhan Yi,tt0099340,Drama
113,movie,1992,8.0,El bulto,tt0101519,Drama
114,movie,1992,4.0,Kiks,tt0102206,Drama
115,movie,1992,5.0,El juego de los mensajes invisibles,tt0102169,Drama
116,movie,1992,6.0,I vozvrashchaetsya veter...,tt0102091,Drama
117,movie,1992,5.0,Humlaa,tt0102073,Drama
118,movie,1992,2.0,The Last Riders,tt0102275,Drama
119,movie,1992,3.0,Backsliding,tt0101395,Drama
120,movie,1992,12.0,Mo jong yuen So Hak Yee,tt0100963,Drama
121,movie,1992,,Bordertown Cafe,tt0101499,Drama
122,movie,1992,4.0,The Giving,tt0101955,Drama
123,movie,1992,4.0,Diplomatic Immunity,tt0101736,Drama
124,movie,1992,3.0,The Finest Hour,tt0101879,Drama
125,movie,1992,5.0,One False Move,tt0102592,Drama
126,movie,1992,9.0,Sunset Heat,tt0103006,Drama
127,movie,1992,2.0,The Man Without a World,tt0102385,Drama
128,movie,1992,,Tsiniki,tt0103136,Drama
129,movie,1992,2.0,Könyörtelen idök,tt0102249,Drama
130,movie,1992,2.0,Roots of Evil,tt0102806,Drama
131,movie,1992,,Abang '92,tt0103607,Drama
132,movie,1992,2.0,Requiem pro panenku,tt0102774,Drama
133,movie,1992,3.0,Turtle Beach,tt0103141,Drama
134,movie,1992,,Tma,tt0103027,Drama
135,movie,1992,3.0,Light Sleeper,tt0102307,Drama
136,movie,1992,1.0,"Olivier, Olivier",tt0102583,Drama
137,movie,1992,,Beta,tt0101437,Drama
138,movie,1992,6.0,Blanval,tt0101471,Drama
139,movie,1992,2.0,Koniec gry,tt0102232,Drama
140,movie,1992,7.0,Khel,tt0102200,Drama
141,movie,1992,6.0,Monster in a Box,tt0102467,Drama
142,movie,1992,1.0,Divertimento,tt0101429,Drama
143,movie,1992,5.0,Shi bu wang qing,tt0102906,Drama
144,movie,1992,3.0,Article 99,tt0101371,Drama
145,movie,1992,9.0,Fratelli e sorelle,tt0101913,Drama
146,movie,1992,2.0,Leise Schatten,tt0102284,Drama
147,movie,1992,4.0,El largo invierno,tt0102265,Drama
148,movie,1992,12.0,Nocturno a Rosario,tt0102549,Drama
149,movie,1992,4.0,L'amant,tt0101316,Drama
150,movie,1993,3.0,Dama de noche,tt0015724,Drama
151,movie,1993,10.0,Me and the Kid,tt0081145,Drama
152,movie,1993,,Pu ti you hun,tt0084551,Drama
153,movie,1993,2.0,Ninja Vengeance,tt0095745,Drama
154,movie,1993,4.0,Shen tong,tt0097984,Drama
155,movie,1993,8.0,El general y la fiebre,tt0099640,Drama
156,movie,1993,4.0,Kamen raidâ Zetto Ô,tt0099917,Drama
157,movie,1993,7.0,Legacy,tt0099996,Drama
158,movie,1993,,1/3 qing ren,tt0103592,Drama
159,movie,1993,1.0,Kiss and Be Killed,tt0102222,Drama
160,movie,1993,11.0,Dai lau Gwong Cheong Lung,tt0101644,Drama
161,movie,1993,7.0,Hammers Over the Anvil,tt0101996,Drama
162,movie,1993,9.0,Cheng shi nu lie ren,tt0103951,Drama
163,movie,1993,9.0,Laser Moon,tt0104683,Drama
164,movie,1993,10.0,Russian Holiday,tt0102821,Drama
165,movie,1993,5.0,Maang lui 72 siu si,tt0104807,Drama
166,movie,1993,7.0,Tropical Heat,tt0103124,Drama
167,movie,1993,5.0,Meine Tochter gehört mir,tt0104846,Drama
168,movie,1993,7.0,Mal de amores,tt0104795,Drama
169,movie,1993,3.0,In a Moment of Passion,tt0103022,Drama
170,movie,1993,5.0,Muqabla,tt0104941,Drama
171,movie,1993,6.0,El marido perfecto,tt0104816,Drama
172,movie,1993,12.0,Fray Bartolomé de las Casas,tt0103771,Drama
173,movie,1993,6.0,Deadly Rivals,tt0104069,Drama
174,movie,1993,,Chakmeh,tt0103937,Drama
175,movie,1993,9.0,Beyond the Law,tt0103805,Drama
176,movie,1993,5.0,Bat sin fan dim: Yan yuk cha siu bau,tt0103743,Drama
177,movie,1993,1.0,Meng qing ren,tt0104852,Drama
178,movie,1993,3.0,Kshatriya,tt0104645,Drama
179,movie,1993,2.0,O Fim do Mundo,tt0104262,Drama
180,movie,1993,12.0,Enak,tt0104186,Drama
181,movie,1993,5.0,Havanera 1820,tt0104398,Drama
